"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA25LA142","ACC","199845","2025-03-12T14:50:00Z","Orlando","Florida","United States",,"N27GP","U20604105","false","Aviation","",,,"None","0","0","0","0","0",,,,"28.502687999999999","-81.095642999999995","CESSNA","TU206G","AIR","N/A",,"false","1",,,"AOBV","091","Substantial","VMC","GPI GEOSPATIAL INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199845/pdf"
"ANC25LA027","ACC","199893","2025-03-07T18:40:00Z","Sleetmute","Alaska","United States",,"N304PT","304","false","Aviation","",,,"None","0","0","0","0",,,,,"61.699624","-157.17343","PILATUS","PC-12/45","AIR","SLQ","Sleetmute","false","1",,"NSCH","BUS","135","Substantial","IMC","Trygg Holdings, LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199893/pdf"
"ANC25LA021","ACC","199788","2025-02-28T12:00:00Z","Lihue","Hawaii","United States",,"N699AV","GA8-06-106","false","Aviation","",,,"Minor","0","0","1","1",,,,,"21.980398999999998","-159.34139999999999","GIPPSLAND","GA-8","AIR","PHLI","Lihue Airport","false","1",,,"BUS","091","Substantial","VMC","AIR VENTURES HAWAII LLC","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199788/pdf"
"ERA25LA139","ACC","199827","2025-02-23T16:15:00Z","Gainesville","Georgia","United States",,"N2480D","20632","false","Aviation","",,,"None","0","0","0","0",,,,,"34.272626000000002","-83.830225999999996","CESSNA","170B","AIR","GVL","LEE GILMER MEML","false","1",,,"FERY","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199827/pdf"
"CEN25LA101","ACC","199749","2025-02-20T12:20:00Z","Farlinville","Kansas","United States",,"N30413","17701240","false","Aviation","",,,"None","0","0","0","0",,,,,"38.253472000000002","-94.790028000000007","CESSNA","177A","AIR",,,"false","1",,,"AOBV","091","Substantial","VMC","EAGLE SKY PATROL INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199749/pdf"
"WPR25LA094","ACC","199720","2025-02-16T15:45:00Z","Flagstaff","Arizona","United States",,"N105DF","21064999","false","Aviation","",,,"None","0","0","0","0","0",,,,"35.162368999999998","-111.72794","CESSNA","T210R","AIR",,,"false","1",,,"POSI","091","Substantial","VMC","Douglas Friesen","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199720/pdf"
"ERA25FA119","ACC","199705","2025-02-14T19:40:00Z","Pierson","Florida","United States",,"N40EA","20800065","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"29.268160999999999","-81.350455999999994","CESSNA","208","AIR","None",,"false","1",,"NSCH","POSI","091","Substantial","Unknown","Skydive Palatka","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199705/pdf"
"WPR25FA088","ACC","199677","2025-02-10T15:38:00Z","Scottsdale","Arizona","United States",,"N81VN","652","false","Aviation","",,,"Fatal","1","3","1","4","1",,,,"33.622478000000001","-111.90907","GATES LEARJET CORP.","35A","AIR","SDL","SCOTTSDALE","false","2",,,"EXEC","091","Substantial","VMC","CHROMED IN HOLLYWOOD INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199677/pdf"
"WPR25LA107","ACC","199800","2025-02-06T18:45:00Z","Grand Canyon Village","Arizona","United States",,"N9317M","20700680","false","Aviation","",,,"None","0","0","0","0",,,,,"35.952361000000003","-112.14697","CESSNA","T207A","AIR","GCN","GRAND CANYON NTL PARK","false","1",,,"POSI","091","Substantial","VMC","WESTWIND AVIATION INC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199800/pdf"
"ANC25MA018","ACC","199662","2025-02-06T16:20:00Z","Nome","Alaska","United States",,"N321BA","208B5613","false","Aviation","",,,"Fatal","10","0","0","10","0",,,,"64.351667000000006","-164.28083000000001","TEXTRON AVIATION INC","208B","AIR","OME","Nome","false","1",,"SCHD",,"135","Destroyed","VMC","BERING AIR INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199662/pdf"
